# dataset: GeoCSV 2.0
# field_unit: ISO_8601, degC, %, mbar, #, mm H2O, #, W/m^2
# field_type: datetime, float, float, float, float, float, float, float
# attribution: pt2050dashboard-dev.tacc.utexas.edu
# doi: https://doi.org/10.5065/d6v1236q
# doi_citation: https://citation.crosscite.org/?doi=10.5065/d6v1236q
# chords_version: latest
# chords_version_sha: 9301241
# delimiter: ,
# instrument_name: iotwx-esip-pr01
# sensor_id: esippr01
# creation_date: 2022-03-14 20:10:39 +0000
# data collection site: Universidad de Puerto Rico Recinto Universitario de Mayagüez - Edificio Luis A. Stefani UPRM
# data collection longitude: -67.13889
# data collection latitude: 18.21083
# data collection elevation: 0.0 meters
# Measurements in File: 380
# Units of Measure: milliseconds, degC, %, mbar, #, mm H2O, #, W/m^2
Time,Temperature,Humidity,Pressure,Volatile Organic Compound,Precipitation,windspeed,UV-A Radiation
2021-10-07T13:08:16Z,,0,,,,,
2021-10-07T13:08:33Z,,0,,,,,
2021-10-07T13:08:34Z,,0,,,,,
2021-10-07T13:08:45Z,,0,,,,,
2021-10-07T13:08:46Z,,0,,,,,
2021-10-07T13:08:56Z,,0,,,,,
2021-10-07T13:08:57Z,,0,,,,,
2021-10-07T13:09:07Z,,0,,,,,
2021-10-07T13:09:08Z,,0,,,,,
2021-10-07T13:09:19Z,,0,,,,,
2021-10-07T13:09:20Z,,0,,,,,
2021-10-07T13:09:32Z,,0,,,,,
2021-10-07T13:09:33Z,,0,,,,,
2021-10-07T13:09:52Z,,0,,,,,
2021-10-07T13:09:53Z,,0,,,,,
2021-10-07T13:10:19Z,,0,,,,,
2021-10-07T13:10:20Z,,0,,,,,
2021-10-07T13:10:34Z,,0,,,,,
2021-10-07T13:10:35Z,,0,,,,,
2021-10-07T13:10:48Z,,0,,,,,
2021-10-07T13:10:49Z,,0,,,,,
2021-10-07T13:11:02Z,,0,,,,,
2021-10-07T13:11:03Z,,0,,,,,
2021-10-07T13:11:13Z,,0,,,,,
2021-10-07T13:11:14Z,,0,,,,,
2021-10-07T13:11:29Z,,0,,,,,
2021-10-07T13:11:30Z,,0,,,,,
2021-10-07T13:11:50Z,,0,,,,,
2021-10-07T13:11:51Z,,0,,,,,
2021-10-07T13:12:06Z,,0,,,,,
2021-10-07T13:12:07Z,,0,,,,,
2021-10-07T13:12:20Z,,0,,,,,
2021-10-07T13:12:21Z,,0,,,,,
2021-10-07T13:12:35Z,,0,,,,,
2021-10-07T13:12:36Z,,0,,,,,
2021-10-07T13:12:49Z,,0,,,,,
2021-10-07T13:12:50Z,,0,,,,,
2021-10-07T13:13:00Z,,0,,,,,
2021-10-07T13:13:01Z,,0,,,,,
2021-10-07T13:13:14Z,,0,,,,,
2021-10-07T13:13:15Z,,0,,,,,
2021-10-07T13:13:25Z,,0,,,,,
2021-10-07T13:13:26Z,,0,,,,,
2021-10-07T13:13:42Z,,0,,,,,
2021-10-07T13:13:43Z,,0,,,,,
2021-10-07T13:13:55Z,,0,,,,,
2021-10-07T13:13:56Z,,0,,,,,
2021-10-07T13:14:16Z,,0,,,,,
2021-10-07T13:14:17Z,,0,,,,,
2021-10-07T13:14:30Z,,0,,,,,
2021-10-07T13:14:31Z,,0,,,,,
2021-10-07T13:14:51Z,,0,,,,,
2021-10-07T13:14:52Z,,0,,,,,
2021-10-07T13:15:02Z,,0,,,,,
2021-10-07T13:15:03Z,,0,,,,,
2021-10-07T13:15:29Z,,0,,,,,
2021-10-07T13:15:30Z,,0,,,,,
2021-10-07T13:15:48Z,,0,,,,,
2021-10-07T13:15:49Z,,0,,,,,
2021-10-07T13:16:01Z,,0,,,,,
2021-10-07T13:16:02Z,,0,,,,,
2021-10-07T13:16:13Z,,0,,,,,
2021-10-07T13:16:14Z,,0,,,,,
2021-10-07T13:16:24Z,,0,,,,,
2021-10-07T13:16:25Z,,0,,,,,
2021-10-07T13:16:36Z,,0,,,,,
2021-10-07T13:16:37Z,,0,,,,,
2021-10-07T13:16:48Z,,0,,,,,
2021-10-07T13:16:49Z,,0,,,,,
2021-10-07T13:17:00Z,,0,,,,,
2021-10-07T13:17:01Z,,0,,,,,
2021-10-07T13:17:12Z,,0,,,,,
2021-10-07T13:17:13Z,,0,,,,,
2021-10-07T13:17:22Z,,0,,,,,
2021-10-07T13:17:23Z,,0,,,,,
2021-10-07T13:17:37Z,,0,,,,,
2021-10-07T13:17:38Z,,0,,,,,
2021-10-07T13:17:47Z,,0,,,,,
2021-10-07T13:17:48Z,,0,,,,,
2021-10-07T13:17:58Z,,0,,,,,
2021-10-07T13:17:59Z,,0,,,,,
2021-10-07T13:18:12Z,,0,,,,,
2021-10-07T13:18:13Z,,0,,,,,
2021-10-07T13:18:27Z,,0,,,,,
2021-10-07T13:18:28Z,,0,,,,,
2021-10-07T13:18:39Z,,0,,,,,
2021-10-07T13:18:40Z,,0,,,,,
2021-10-07T13:18:56Z,,0,,,,,
2021-10-07T13:18:57Z,,0,,,,,
2021-10-07T13:19:10Z,,0,,,,,
2021-10-07T13:19:11Z,,0,,,,,
2021-10-07T13:19:26Z,,0,,,,,
2021-10-07T13:19:27Z,,0,,,,,
2021-10-07T13:19:44Z,,0,,,,,
2021-10-07T13:19:45Z,,0,,,,,
2021-10-07T13:20:03Z,,0,,,,,
2021-10-07T13:20:04Z,,0,,,,,
2021-10-07T13:20:17Z,,0,,,,,
2021-10-07T13:20:18Z,,0,,,,,
2021-10-07T13:20:30Z,,0,,,,,
2021-10-07T13:20:31Z,,0,,,,,
2021-10-07T13:20:43Z,,0,,,,,
2021-10-07T13:20:44Z,,0,,,,,
2021-10-07T13:20:58Z,,0,,,,,
2021-10-07T13:20:59Z,,0,,,,,
2021-10-07T13:21:09Z,,0,,,,,
2021-10-07T13:21:10Z,,0,,,,,
2021-10-07T13:21:25Z,,0,,,,,
2021-10-07T13:21:26Z,,0,,,,,
2021-10-07T13:21:38Z,,0,,,,,
2021-10-07T13:21:39Z,,0,,,,,
2021-10-07T13:21:49Z,,0,,,,,
2021-10-07T13:21:50Z,,0,,,,,
2021-10-07T13:22:00Z,,0,,,,,
2021-10-07T13:22:01Z,,0,,,,,
2021-10-07T13:22:14Z,,0,,,,,
2021-10-07T13:22:15Z,,0,,,,,
2021-10-07T13:22:24Z,,0,,,,,
2021-10-07T13:22:25Z,,0,,,,,
2021-10-07T13:22:44Z,,0,,,,,
2021-10-07T13:22:45Z,,0,,,,,
2021-10-07T13:22:56Z,,0,,,,,
2021-10-07T13:22:57Z,,0,,,,,
2021-10-07T13:23:06Z,,0,,,,,
2021-10-07T13:23:07Z,,0,,,,,
2021-10-07T13:23:23Z,,0,,,,,
2021-10-07T13:23:24Z,,0,,,,,
2021-10-07T13:23:34Z,,0,,,,,
2021-10-07T13:23:35Z,,0,,,,,
2021-10-07T13:23:45Z,,0,,,,,
2021-10-07T13:23:46Z,,0,,,,,
2021-10-07T13:23:59Z,,0,,,,,
2021-10-07T13:24:00Z,,0,,,,,
2021-10-07T13:24:17Z,,0,,,,,
2021-10-07T13:24:18Z,,0,,,,,
2021-10-07T13:24:30Z,,0,,,,,
2021-10-07T13:24:31Z,,0,,,,,
2021-10-07T13:24:41Z,,0,,,,,
2021-10-07T13:24:42Z,,0,,,,,
2021-10-07T13:24:58Z,,0,,,,,
2021-10-07T13:24:59Z,,0,,,,,
2021-10-07T13:25:08Z,,0,,,,,
2021-10-07T13:25:09Z,,0,,,,,
2021-10-07T13:25:19Z,,0,,,,,
2021-10-07T13:25:20Z,,0,,,,,
2021-10-07T13:25:35Z,,0,,,,,
2021-10-07T13:25:36Z,,0,,,,,
2021-10-07T13:25:46Z,,0,,,,,
2021-10-07T13:25:47Z,,0,,,,,
2021-10-07T13:25:57Z,,0,,,,,
2021-10-07T13:25:58Z,,0,,,,,
2021-10-07T13:26:14Z,,0,,,,,
2021-10-07T13:26:15Z,,0,,,,,
2021-10-07T13:26:31Z,,0,,,,,
2021-10-07T13:26:32Z,,0,,,,,
2021-10-07T13:26:42Z,,0,,,,,
2021-10-07T13:26:43Z,,0,,,,,
2021-10-07T13:26:51Z,,0,,,,,
2021-10-07T13:26:52Z,,0,,,,,
2021-10-07T13:27:07Z,,0,,,,,
2021-10-07T13:27:08Z,,0,,,,,
2021-10-07T13:27:22Z,,0,,,,,
2021-10-07T13:27:23Z,,0,,,,,
2021-10-07T13:27:37Z,,0,,,,,
2021-10-07T13:27:38Z,,0,,,,,
2021-10-07T13:27:47Z,,0,,,,,
2021-10-07T13:27:48Z,,0,,,,,
2021-10-07T13:28:03Z,,0,,,,,
2021-10-07T13:28:04Z,,0,,,,,
2021-10-07T13:28:12Z,,0,,,,,
2021-10-07T13:28:13Z,,0,,,,,
